iter	Passed	Remaining
955	25127	80007
956	25154	79983
957	25182	79962
958	25200	79911
959	25222	79871
960	25251	79852
961	25269	79802
962	25299	79785
963	25318	79736
964	25354	79740
965	25369	79678
966	25394	79649
967	25431	79658
968	25447	79599
969	25477	79584
970	25507	79570
971	25523	79511
972	25542	79462
973	25565	79426
974	25595	79412
975	25627	79403
976	25657	79387
977	25686	79370
978	25716	79356
979	25748	79346
980	25779	79335
981	25811	79326
982	25842	79316
983	25872	79299
984	25901	79282
985	25933	79274
986	25967	79269
987	25997	79254
988	26027	79241
989	26055	79220
990	26084	79201
991	26112	79179
992	26141	79161
993	26170	79143
994	26198	79121
995	26225	79097
996	26253	79077
997	26275	79037
998	26304	79019
999	26327	78981
1000	26357	78966
1001	26385	78946
1002	26404	78896
1003	26421	78843
1004	26448	78819
1005	26466	78767
1006	26495	78749
1007	26524	78730
1008	26552	78710
1009	26570	78660
1010	26601	78646
1011	26627	78619
1012	26660	78612
1013	26688	78592
1014	26717	78573
1015	26735	78522
1016	26753	78471
1017	26776	78435
1018	26794	78385
1019	26823	78365
1020	26841	78314
1021	26870	78296
1022	26888	78246
1023	26905	78195
1024	26933	78173
1025	26963	78157
1026	26992	78139
1027	27020	78118
1028	27049	78099
1029	27078	78081
1030	27094	78024
1031	27112	77974
1032	27140	77954
1033	27160	77907
1034	27177	77855
1035	27204	77831
1036	27222	77781
1037	27236	77720
1038	27251	77661
1039	27279	77640
1040	27307	77621
1041	27325	77571
1042	27348	77536
1043	27366	77486
1044	27392	77460
1045	27432	77472
1046	27451	77426
1047	27479	77404
1048	27503	77370
1049	27526	77335
1050	27548	77299
1051	27572	77264
1052	27594	77226
1053	27609	77169
1054	27628	77124
1055	27647	77077
1056	27662	77021
1057	27682	76976
1058	27701	76931
1059	27721	76887
1060	27741	76844
1061	27769	76824
1062	27791	76785
1063	27819	76764
1064	27838	76720
1065	27869	76706
1066	27888	76661
1067	27904	76606
1068	27934	76590
1069	27964	76575
1070	27979	76519
1071	28010	76505
1072	28021	76439
1073	28052	76427
1074	28075	76392
1075	28106	76377
1076	28134	76357
1077	28154	76314
1078	28186	76304
1079	28210	76271
1080	28229	76226
1081	28248	76182
1082	28260	76117
1083	28275	76061
1084	28291	76008
1085	28310	75963
1086	28322	75899
1087	28333	75835
1088	28353	75791
1089	28377	75761
1090	28407	75744
1091	28426	75699
1092	28456	75685
1093	28475	75639
1094	28505	75625
1095	28534	75606
1096	28558	75575
1097	28582	75544
1098	28606	75512
1099	28634	75491
1100	28665	75478
1101	28695	75462
1102	28714	75418
1103	28733	75374
1104	28754	75333
1105	28779	75306
1106	28803	75274
1107	28835	75262
1108	28855	75222
1109	28885	75206
1110	28912	75182
1111	28936	75151
1112	28960	75121
1113	28990	75103
1114	29013	75072
1115	29044	75058
1116	29068	75027
1117	29084	74975
1118	29101	74924
1119	29132	74912
1120	29148	74860
1121	29168	74818
1122	29187	74774
1123	29218	74761
1124	29237	74719
1125	29272	74715
1126	29288	74663
1127	29319	74650
1128	29340	74611
1129	29364	74580
1130	29389	74552
1131	29404	74497
1132	29423	74454
1133	29443	74413
1134	29467	74381
1135	29486	74338
1136	29503	74291
1137	29531	74269
1138	29549	74225
1139	29572	74191
1140	29600	74170
1141	29634	74162
1142	29657	74129
1143	29693	74130
1144	29726	74121
1145	29759	74114
1146	29777	74068
1147	29795	74021
1148	29824	74003
1149	29844	73961
1150	29873	73945
1151	29904	73931
1152	29943	73937
1153	29968	73907
1154	29992	73878
1155	30012	73836
1156	30043	73822
1157	30068	73794
1158	30099	73781
1159	30129	73766
1160	30149	73723
1161	30164	73672
1162	30188	73640
1163	30222	73634
1164	30251	73615
1165	30287	73613
1166	30322	73611
1167	30350	73589
1168	30379	73570
1169	30407	73549
1170	30440	73540
1171	30473	73532
1172	30509	73530
1173	30528	73486
1174	30566	73490
1175	30590	73459
1176	30623	73448
1177	30664	73458
1178	30700	73456
1179	30727	73434
1180	30756	73415
1181	30775	73371
1182	30795	73331
1183	30813	73287
1184	30850	73285
1185	30884	73278
1186	30903	73236
1187	30921	73191
1188	30940	73149
1189	30964	73118
1190	30988	73086
1191	31008	73047
1192	31042	73040
1193	31080	73040
1194	31098	72997
1195	31136	72998
1196	31175	73003
1197	31215	73009
1198	31253	73012
1199	31273	72970
1200	31292	72928
1201	31329	72927
1202	31353	72896
1203	31391	72899
1204	31413	72864
1205	31430	72817
1206	31446	72766
1207	31461	72715
1208	31476	72664
1209	31500	72633
1210	31533	72622
1211	31562	72605
1212	31578	72554
1213	31610	72541
1214	31630	72501
1215	31650	72463
1216	31680	72445
1217	31696	72396
1218	31727	72382
1219	31738	72322
1220	31750	72265
1221	31762	72207
1222	31794	72194
1223	31812	72149
1224	31831	72107
1225	31849	72063
1226	31875	72038
1227	31895	71998
1228	31924	71979
1229	31939	71929
1230	31959	71889
1231	31989	71873
1232	32019	71855
1233	32038	71813
1234	32067	71795
1235	32082	71744
1236	32112	71726
1237	32142	71709
1238	32159	71665
1239	32179	71624
1240	32198	71583
1241	32216	71541
1242	32240	71510
1243	32259	71468
1244	32290	71454
1245	32313	71422
1246	32345	71408
1247	32375	71391
1248	32404	71373
1249	32434	71356
1250	32453	71314
1251	32471	71272
1252	32491	71232
1253	32505	71180
1254	32540	71174
1255	32577	71172
1256	32603	71145
1257	32622	71106
1258	32643	71068
1259	32674	71053
1260	32693	71013
1261	32725	71001
1262	32745	70962
1263	32763	70917
1264	32783	70880
1265	32815	70867
1266	32836	70829
1267	32855	70789
1268	32886	70775
1269	32921	70767
1270	32939	70724
1271	32967	70704
1272	32987	70664
1273	33004	70620
1274	33024	70582
1275	33041	70535
1276	33060	70496
1277	33076	70449
1278	33091	70400
1279	33106	70352
1280	33139	70341
1281	33155	70292
1282	33166	70236
1283	33182	70189
1284	33209	70166
1285	33242	70156
1286	33257	70106
1287	33272	70058
1288	33286	70008
1289	33305	69967
1290	33320	69918
1291	33335	69871
1292	33350	69821
1293	33377	69799
1294	33394	69754
1295	33408	69705
1296	33423	69656
1297	33439	69609
1298	33467	69589
1299	33483	69543
1300	33500	69498
1301	33514	69449
1302	33533	69409
1303	33548	69360
1304	33563	69312
1305	33574	69256
1306	33588	69206
1307	33606	69165
1308	33621	69117
1309	33649	69097
1310	33668	69057
1311	33683	69009
1312	33701	68968
1313	33715	68920
1314	33740	68892
1315	33770	68874
1316	33798	68855
1317	33827	68835
1318	33843	68790
1319	33874	68775
1320	33892	68734
1321	33907	68686
1322	33929	68655
1323	33946	68609
1324	33962	68564
1325	33977	68519
1326	33992	68471
1327	34024	68458
1328	34056	68446
1329	34085	68427
1330	34112	68404
1331	34132	68367
1332	34146	68318
1333	34169	68287
1334	34196	68265
1335	34212	68219
1336	34245	68209
1337	34262	68166
1338	34285	68136
1339	34309	68106
1340	34341	68094
1341	34373	68081
1342	34397	68051
1343	34416	68013
1344	34437	67979
1345	34467	67961
1346	34490	67930
1347	34509	67892
1348	34540	67878
1349	34558	67837
1350	34582	67809
1351	34607	67781
1352	34623	67737
1353	34655	67723
1354	34687	67710
1355	34718	67695
1356	34734	67650
1357	34757	67621
1358	34791	67612
1359	34806	67566
1360	34825	67526
1361	34841	67482
1362	34871	67465
1363	34902	67451
1364	34932	67433
1365	34955	67403
1366	34988	67392
1367	35008	67355
1368	35027	67316
1369	35057	67299
1370	35078	67266
1371	35098	67229
1372	35135	67225
1373	35159	67196
1374	35180	67161
1375	35216	67156
1376	35231	67111
1377	35247	67066
1378	35270	67037
1379	35286	66992
1380	35315	66974
1381	35351	66968
1382	35380	66949
1383	35411	66933
1384	35430	66895
1385	35465	66888
1386	35487	66855
1387	35517	66838
1388	35547	66820
1389	35567	66785
1390	35598	66768
1391	35627	66751
1392	35656	66731
1393	35688	66717
1394	35706	66677
1395	35731	66651
1396	35761	66634
1397	35785	66605
1398	35810	66578
1399	35842	66564
1400	35873	66549
1401	35891	66508
1402	35916	66481
1403	35952	66476
1404	35984	66462
1405	36008	66433
1406	36039	66418
1407	36062	66387
1408	36095	66375
1409	36130	66367
1410	36156	66342
1411	36179	66312
1412	36205	66286
1413	36236	66270
1414	36266	66254
1415	36295	66234
1416	36324	66214
1417	36352	66194
1418	36388	66185
